Var.1,Planning Area,Total,0 - 4,5-Sep,Oct-14,15 - 19,20 - 24,25 - 29,30 - 34,35 - 39,40 - 44,45 - 49,50 - 54,55 - 59,60 - 64,65 - 69,70 - 74,75 - 79,80 - 84,85 & Over,85_and_over,PLN_AREA_N,65_AND_OVER,ELDERLY_DENSITY,POP_DATE
29,Novena,46820,2310,2540,2570,2610,2590,2740,3480,4190,4030,4040,3610,3140,2760,1730,1670,1220,840,770,770,NOVENA,6230,0.133062794,2011
30,Orchard,820,40,40,40,30,40,40,60,90,70,70,80,70,70,30,20,10,10,10,10,ORCHARD,80,0.097560976,2011
31,Outram,21680,1220,750,690,780,920,1460,2190,1860,1500,1540,1590,1630,1620,1070,1110,800,490,480,480,OUTRAM,3950,0.182195572,2011
32,Pasir Ris,133790,6220,8040,11570,13920,9680,7340,8370,9690,12070,14650,11320,7730,5120,2480,2150,1610,1020,820,820,PASIR RIS,8080,0.060393153,2011
33,Paya Lebar,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PAYA LEBAR,0,0,2011
34,Pioneer,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIONEER,0,0,2011
35,Punggol,64530,6550,5510,3620,2800,2840,4330,8120,9010,5350,4270,3570,2870,2390,1180,960,600,320,230,230,PUNGGOL,3290,0.050984038,2011
36,Queenstown,97830,4510,4320,4680,4860,4970,6400,7850,8650,7930,8030,7160,6580,6580,4280,4570,3220,1970,1270,1270,QUEENSTOWN,15310,0.156495962,2011
37,River Valley,8380,360,430,440,500,420,510,680,810,890,810,660,570,470,280,230,130,100,100,100,RIVER VALLEY,840,0.100238663,2011
38,Rochor,15440,640,620,630,710,830,1060,1340,1370,1170,1190,1240,1110,1080,680,700,490,330,270,270,ROCHOR,2470,0.159974093,2011
39,Seletar,310,20,20,20,20,10,10,10,40,40,40,30,20,10,10,10,10,0,0,0,SELETAR,30,0.096774194,2011
40,Sembawang,73120,5320,5490,5030,4360,4520,5390,7380,8050,6320,5790,5160,3760,2560,1350,1140,760,430,310,310,SEMBAWANG,3990,0.054567834,2011
41,Sengkang,171250,13280,12440,11500,9980,9540,12180,18350,18930,14590,12910,12200,9210,6640,3270,2670,1690,1090,790,790,SENGKANG,9510,0.055532847,2011
42,Serangoon,123610,4610,5760,7680,9130,9430,8520,8060,8570,8950,10320,11270,10120,8050,4180,3610,2430,1620,1300,1300,SERANGOON,13140,0.106302079,2011
43,Simpang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SIMPANG,0,0,2011
44,Singapore River,2150,120,110,100,90,70,140,240,310,300,200,140,100,80,60,40,10,20,20,20,SINGAPORE RIVER,150,0.069767442,2011
45,Southern Islands,880,50,60,50,50,50,40,50,80,130,120,80,70,30,20,10,10,10,0,0,SOUTHERN ISLANDS,50,0.056818182,2011
46,Straits View,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,STRAITS VIEW,0,0,2011
47,Sungei Kadut,860,30,20,30,40,40,50,50,60,50,60,60,50,70,50,50,40,40,60,60,SUNGEI KADUT,240,0.279069767,2011
48,Tampines,260850,11740,13560,17700,21420,21100,19230,18830,18700,19920,23220,23690,19340,13460,6150,5170,3540,2350,1740,1740,TAMPINES,18950,0.072647115,2011
